paisagem_ano;ano;padrao;estado;areaha_florprima;perc_cobert;nfrag<1ha;nfrag_1-10ha;nfrag_10-100ha;nfrag_100-250ha;nfrag_250-500ha;nfrag_500-1000ha;nfrag>1000ha;nfrag_total;area_borda100;area_borda300;area_borda500;area_borda1000;area_core100;area_core300;area_core500;area_core1000; PAFRAC ; ENN_MN ; ENN_AM ; ENN_SD;ENN_CV;SHAPE_AM;PROX_CV;CORE_CV100;CORE_CV300;CORE_CV500;CORE_CV1000;CAI_AM100;CAI_AM300;CAI_AM500;CAI_AM1000;CLUMPY
00167_1995;1995;esp;AC;165229,72;66,09;4;312;42;9;0;3;11;381;367547213,5;827873566;1131683879;1499059905;128487,94;82495,76;52129,81;15323,73;1,4214;139,1017;62,264;110,7438;79,61354894;15,2574;145,8844;1113,1112;1172,8665;1219,7015;1348,2476;79,1946;50,6134;32,217;9,4421;
00167_2000;2000;esp;AC;129699,65;51,88;0;104;67;5;5;12;21;214;338781517;753580161,6;991326415,4;1208259241;95833,23;54386,9;30617,73;8873,73;1,3912;189,1207;83,4543;160,6735;84,9581775;7,9487;247,9399;530,887;613,8922;726,319;1078,4936;75,6426;42,669;24,2111;6,9341;
00167_2005;2005;esp;AC;105869;42,35;2;666;146;15;14;7;20;870;376751016,7;718989814,9;863371036,3;974705977,4;68204,34;34000,77;19556,57;8398,41;1,402;165,5583;70,502;132,9731;80,3179907;8,4165;247,5349;981,2129;1309,4735;1666,4548;2295,1065;66,438;32,7356;18,8373;8,0082;
00167_2010;2010;esp;AC;81728,55;32,69;0;725;187;40;19;11;17;999;357770942,3;641741614,5;737551565,3;794539807;45961,94;17578,1;7988,9;2274,57;1,3999;220,3597;83,8727;189,7488;86,10866688;6,8129;363,213;913,1865;1356,2407;1759,7206;2066,8991;58,5685;22,0941;10,046;2,8317;
00167_2015;2015;esp;AC;79279,79;31,71;0;837;212;40;18;14;15;1136;355424025,3;630208012,1;721212243,2;779120873,9;43746,83;16281,22;7173,05;1367,7;1,4011;197,5501;77,5286;174,4104;88,28666753;6,8722;369,0079;994,8894;1429,9673;1792,9342;2116,0189;57,5599;21,1317;9,304;1,7725;
22863_1985;1985;esp;PA;231270,48;92,51;14;37;5;0;0;0;3;59;155408545,3;411103734,2;632660452,6;1063622781;215736,2;190190,83;168054,67;124908,2;1,2493;115,0625;60,0776;50,182;43,61281912;6,1298;108,2216;512,7242;516,4333;521,091;540,7491;94,0563;82,8064;73,3814;54,4445;
22863_1990;1990;esp;PA;218837,79;87,54;37;70;14;0;0;1;3;125;213664007,6;543472072,8;808011456,5;1284543991;197469,46;164519,39;138086,87;90383,39;1,3006;139,8684;60,5512;101,379;72,48170423;8,5551;128,7977;723,7138;734,9807;747,09;783,9787;91,3376;75,9831;64,0122;41,802;
22863_1995;1995;esp;PA;206185,55;82,47;52;108;18;1;0;1;3;183;255566361,5;621813087,3;896975160,9;1362706357;180653,19;144060,28;116563,45;69914,91;1,3219;135,2388;60,9399;64,559;47,73703996;10,8249;141,3389;883,6556;901,6234;918,9677;974,4344;88,9877;70,8185;57,5066;34,4282;
22863_2000;2000;esp;PA;194848,74;77,94;56;155;28;6;1;0;3;249;288174019,4;674084397,9;960420567,6;1419535989;166203,43;127687,28;99116,64;52895,14;1,3266;143,7434;60,8943;86,7747;60,36778036;12,2088;142,813;1019,5727;1046,7663;1071,5204;1148,3979;87,1071;66,7061;52,0105;27,8056;
22863_2005;2005;esp;PA;176668,74;70,67;82;156;49;7;1;0;3;298;331341237,7;751333060,8;1038980792;1456511960;143843,68;102224,01;73483,76;31017,54;1,3045;154,5947;61,4792;96,9736;62,72763555;14,7954;158,593;1107,0198;1136,4207;1161,0579;1224,0055;83,6851;59,2118;42,837;18,4298;
